,Open,High,Low,Close,Volume,Dividends,Stock Splits
497836800000,0.0561656766,0.0570432039,0.0561656766,0.0561656766,118294400,0.0,0.0
498096000000,0.0583595037,0.0583595037,0.0583595037,0.0583595037,155187200,0.0,0.0
498182400000,0.0596757904,0.060114557,0.0596757904,0.0596757904,293888000,0.0,0.0
498268800000,0.063185893,0.0636246537,0.063185893,0.063185893,288444800,0.0,0.0
498355200000,0.0640634224,0.0671347652,0.0640634224,0.0640634224,348185600,0.0,0.0
498441600000,0.0640634144,0.0645021751,0.0623083599,0.0623083599,230428800,0.0,0.0
498700800000,0.062308367,0.062308367,0.0605533123,0.0605533123,118876800,0.0,0.0
498787200000,0.063185893,0.0640634203,0.063185893,0.063185893,424547200,0.0,0.0
498873600000,0.063185893,0.0649409477,0.063185893,0.063185893,148377600,0.0,0.0
498960000000,0.0645021722,0.0662572266,0.0645021722,0.0645021722,272630400,0.0,0.0
499046400000,0.0645021811,0.0645021811,0.063185893,0.063185893,63280000,0.0,0.0
499305600000,0.063185893,0.0636246537,0.063185893,0.063185893,59472000,0.0,0.0
499392000000,0.0631859024,0.0631859024,0.0627471358,0.0627471358,130883200,0.0,0.0
499478400000,0.0666959807,0.0666959807,0.0666959807,0.0666959807,226576000,0.0,0.0
499564800000,0.0666959953,0.0675743076,0.0653797016,0.0653797016,155075200,0.0,0.0
499651200000,0.0653797016,0.0666959953,0.0653797016,0.0653797016,92556800,0.0,0.0
499910400000,0.0658184886,0.0671347769,0.0658184886,0.0658184886,155724800,0.0,0.0
499996800000,0.0658184681,0.067134756,0.0653797016,0.0653797016,107542400,0.0,0.0
500083200000,0.0675743222,0.0680130889,0.0675743222,0.0675743222,200457600,0.0,0.0
500169600000,0.0688906163,0.0697681437,0.0688906163,0.0688906163,317139200,0.0,0.0
500256000000,0.0719619542,0.0728394816,0.0719619542,0.0719619542,294112000,0.0,0.0
500515200000,0.0719619577,0.0728394851,0.0702069029,0.0702069029,178774400,0.0,0.0
500601600000,0.070206929,0.0710844567,0.069768168,0.069768168,173644800,0.0,0.0
500688000000,0.0697681264,0.0697681264,0.068013072,0.068013072,101561600,0.0,0.0
500774400000,0.0702069029,0.0706456696,0.0702069029,0.0702069029,139507200,0.0,0.0
500860800000,0.070206929,0.0710844567,0.069768168,0.069768168,81580800,0.0,0.0
501120000000,0.069768168,0.070206929,0.069768168,0.069768168,64556800,0.0,0.0
501206400000,0.0697681437,0.0702069045,0.0675743222,0.0675743222,94326400,0.0,0.0
501292800000,0.0675742928,0.0680130593,0.0666959807,0.0666959807,99075200,0.0,0.0
501379200000,0.0666959807,0.0675742928,0.0666959807,0.0666959807,102950400,0.0,0.0
501465600000,0.0666959807,0.0675742928,0.0662572143,0.0666959807,128755200,0.0,0.0
501724800000,0.0666959922,0.0675743044,0.0666959922,0.0671347529,97193600,0.0,0.0
501811200000,0.0671347539,0.0684518327,0.0666959932,0.068013072,164460800,0.0,0.0
501897600000,0.0680130873,0.0706456696,0.0675743207,0.0702069029,191721600,0.0,0.0
502070400000,0.070206901,0.0706456676,0.0697681402,0.0706456676,99030400,0.0,0.0
502329600000,0.0706456789,0.0710844398,0.0702069122,0.0710844398,100195200,0.0,0.0
502416000000,0.0710844284,0.071523195,0.070206901,0.0706456676,155075200,0.0,0.0
502502400000,0.0706456661,0.0724007208,0.0706456661,0.0719619542,165110400,0.0,0.0
502588800000,0.0719619558,0.0728394831,0.070206901,0.0706456676,125148800,0.0,0.0
502675200000,0.0706456827,0.0706456827,0.0688906276,0.0693293884,65452800,0.0,0.0
502934400000,0.0693293599,0.0702068871,0.0675743055,0.068013072,139865600,0.0,0.0
503020800000,0.0680130908,0.0688906183,0.0675743242,0.0684518516,200905600,0.0,0.0
503107200000,0.0684518609,0.0706456827,0.0684518609,0.0693293884,237619200,0.0,0.0
503193600000,0.0697681421,0.0710844303,0.0697681421,0.0702069029,125260800,0.0,0.0
503280000000,0.0702069029,0.0710844303,0.0693293755,0.0702069029,251148800,0.0,0.0
503539200000,0.0702068996,0.0745945364,0.0702068996,0.0732782483,288915200,0.0,0.0
503625600000,0.0732782463,0.073717007,0.0715231916,0.0724007189,109065600,0.0,0.0
503712000000,0.0750333035,0.080299259,0.0750333035,0.0781046525,559798400,0.0,0.0
503798400000,0.0781046544,0.0798604943,0.0776658877,0.0789821818,270121600,0.0,0.0
503884800000,0.0789821389,0.0798604509,0.0781046119,0.0785433725,206035200,0.0,0.0
504144000000,0.0785434057,0.0789821723,0.0759108236,0.0767883509,143225600,0.0,0.0
504230400000,0.076788347,0.0772271136,0.0759108197,0.0763495862,64601600,0.0,0.0
504403200000,0.0763495862,0.0772271136,0.0759108197,0.0763495862,45852800,0.0,0.0
504489600000,0.0763495579,0.0794208994,0.0763495579,0.0785433725,122886400,0.0,0.0
504748800000,0.0785434133,0.0794209407,0.0776658858,0.0781046525,107676800,0.0,0.0
504835200000,0.078104658,0.0785434189,0.0772271305,0.0772271305,87248000,0.0,0.0
505008000000,0.077227125,0.0781046525,0.0763495976,0.0781046525,117420800,0.0,0.0
505094400000,0.0781046119,0.0785433725,0.0776658455,0.0785433725,242166400,0.0,0.0
505353600000,0.0785434133,0.0785434133,0.0767883584,0.0781046525,185046400,0.0,0.0
505440000000,0.0781046555,0.0807380229,0.0776658888,0.0807380229,470534400,0.0,0.0
505526400000,0.080738019,0.0824930739,0.0798604916,0.0802992582,607600000,0.0,0.0
505612800000,0.0802992649,0.0807380258,0.076788364,0.0794209465,447238400,0.0,0.0
505699200000,0.0794209493,0.0811767952,0.0794209493,0.079860501,153238400,0.0,0.0
505958400000,0.0798604954,0.0811767896,0.0789821829,0.0807380229,215420800,0.0,0.0
506044800000,0.0807380101,0.0833705921,0.0789821704,0.0816155374,272697600,0.0,0.0
506131200000,0.0816155686,0.0842481516,0.0811768077,0.0838093907,423472000,0.0,0.0
506217600000,0.0838093614,0.0868807042,0.0838093614,0.0860031769,534777600,0.0,0.0
506304000000,0.0860032032,0.0868807308,0.083809387,0.0842481479,345385600,0.0,0.0
506563200000,0.0842481516,0.0842481516,0.0820543353,0.0838093907,127411200,0.0,0.0
506649600000,0.083809387,0.0846869146,0.0833706203,0.0842481479,151961600,0.0,0.0
506736000000,0.0842481098,0.0846868763,0.0785433948,0.0820542946,143001600,0.0,0.0
506822400000,0.0820543171,0.0824930779,0.0798604954,0.0807380229,156419200,0.0,0.0
506908800000,0.0807380258,0.08205432,0.0794209465,0.0794209465,111977600,0.0,0.0
507168000000,0.0794209046,0.0798604561,0.0772270899,0.0776658505,389580800,0.0,0.0
507254400000,0.0776658858,0.0785434133,0.077227125,0.0781046525,222297600,0.0,0.0
507340800000,0.0781046432,0.0855644135,0.0772271158,0.0829318315,589568000,0.0,0.0
507427200000,0.0824930779,0.0824930779,0.0802992621,0.0807380229,236880000,0.0,0.0
507513600000,0.0807379987,0.0816155259,0.0802992381,0.0811767653,147705600,0.0,0.0
507772800000,0.0811768077,0.0842481516,0.08029928,0.0838093907,350022400,0.0,0.0
507859200000,0.0838093853,0.0855644405,0.0833706185,0.0833706185,260176000,0.0,0.0
507945600000,0.0833706185,0.0838093853,0.0824930909,0.0833706185,197164800,0.0,0.0
508032000000,0.0833705742,0.0851256285,0.0829318136,0.0846868679,134220800,0.0,0.0
508118400000,0.0846869146,0.0846869146,0.0824930926,0.0842481479,129404800,0.0,0.0
508377600000,0.0842481516,0.0860032069,0.0833706239,0.0838093907,111843200,0.0,0.0
508464000000,0.0838093907,0.0842481516,0.0824930962,0.0838093907,153462400,0.0,0.0
508550400000,0.083809387,0.0842481479,0.0833706203,0.0842481479,133056000,0.0,0.0
508636800000,0.0842481516,0.0842481516,0.0833706239,0.0838093907,109379200,0.0,0.0
508723200000,0.0838093853,0.0846869129,0.0833706185,0.0833706185,137513600,0.0,0.0
509068800000,0.0833706239,0.0842481516,0.0816155686,0.0838093907,148108800,0.0,0.0
509155200000,0.0838093368,0.08951326,0.0838093368,0.0877582058,359676800,0.0,0.0
509241600000,0.0877582173,0.0890745052,0.0873194508,0.088196978,137916800,0.0,0.0
509328000000,0.088196991,0.0903908123,0.088196991,0.0886357576,189078400,0.0,0.0
509587200000,0.0886357616,0.0903908163,0.0877582342,0.0903908163,247116800,0.0,0.0
509673600000,0.0903908375,0.0925854445,0.0881970156,0.0925854445,224739200,0.0,0.0
509760000000,0.0925854097,0.0939016976,0.0912683308,0.0912683308,164729600,0.0,0.0
509846400000,0.0912683532,0.0917071141,0.0895132983,0.0899520591,108124800,0.0,0.0
509932800000,0.0899520207,0.0908295478,0.0873194393,0.0877582058,125126400,0.0,0.0
510192000000,0.0877582356,0.0881969964,0.0860031808,0.0864419416,108819200,0.0,0.0
510278400000,0.0864419416,0.0877582356,0.0860031808,0.0864419416,89107200,0.0,0.0
510364800000,0.0864419363,0.0895132849,0.0851256482,0.0886357576,177027200,0.0,0.0
510451200000,0.0886357615,0.0903908163,0.0881969949,0.0890745223,101337600,0.0,0.0
510537600000,0.0890745218,0.0890745218,0.0868807063,0.0868807063,96185600,0.0,0.0
510796800000,0.0868807082,0.087319469,0.0864419416,0.0864419416,75488000,0.0,0.0
510883200000,0.0864419214,0.0873194486,0.0860031607,0.0873194486,103062400,0.0,0.0
510969600000,0.087319467,0.0881969944,0.0868807063,0.0868807063,85680000,0.0,0.0
511056000000,0.0868807063,0.0877582336,0.0855644181,0.0868807063,115964800,0.0,0.0
511142400000,0.0868807053,0.0921466546,0.0868807053,0.091707103,384854400,0.0,0.0
511401600000,0.0912683308,0.0912683308,0.0890745097,0.0912683308,118720000,0.0,0.0
511488000000,0.0912683613,0.0956567842,0.0908295946,0.0943404958,249356800,0.0,0.0
511574400000,0.0943404733,0.0956567614,0.0925854186,0.0930241793,189884800,0.0,0.0
511660800000,0.098289356,0.1039932874,0.098289356,0.0991668776,904131200,0.0,0.0
511747200000,0.0991668865,0.1009219416,0.0965343098,0.0969730765,260377600,0.0,0.0
512006400000,0.0969730497,0.0969730497,0.0925854133,0.0939017013,294313600,0.0,0.0
512092800000,0.0939017361,0.0978506133,0.0939017361,0.0978506133,281075200,0.0,0.0
512179200000,0.0978505952,0.1009219325,0.0978505952,0.0991668776,222140800,0.0,0.0
512265600000,0.0991668776,0.1017994658,0.0991668776,0.0991668776,219004800,0.0,0.0
512611200000,0.0991668776,0.1000444109,0.098289356,0.0991668776,187801600,0.0,0.0
512697600000,0.0991668713,0.0991668713,0.0947792401,0.0956567675,222723200,0.0,0.0
512784000000,0.0956567675,0.0960955341,0.0921466579,0.0956567675,325292800,0.0,0.0
512870400000,0.0956567505,0.0969730443,0.0943404625,0.0947792232,211075200,0.0,0.0
512956800000,0.0947792286,0.0947792286,0.0934629406,0.0939017013,125955200,0.0,0.0
513216000000,0.0939017127,0.0965342949,0.0921466579,0.0956567675,120131200,0.0,0.0
513302400000,0.0956567822,0.0974118373,0.0956567822,0.0969730765,193222400,0.0,0.0
513388800000,0.0969730575,0.0974118183,0.0943404754,0.0952180028,135318400,0.0,0.0
513475200000,0.0952180067,0.0960955341,0.0943404793,0.0956567675,109984000,0.0,0.0
513561600000,0.0956567505,0.0965342777,0.0947792232,0.0947792232,75667200,0.0,0.0
513820800000,0.0947792566,0.0956567842,0.0939017291,0.0943404958,84963200,0.0,0.0
513907200000,0.0943404481,0.096534263,0.0943404481,0.0960955024,131398400,0.0,0.0
513993600000,0.0960955402,0.1000444109,0.0960955402,0.0991668776,210828800,0.0,0.0
514080000000,0.0991668775,0.1022382324,0.0982893559,0.1017994657,270099200,0.0,0.0
514166400000,0.1017994557,0.1048715836,0.1009219225,0.1044328287,247676800,0.0,0.0
514425600000,0.1048715825,0.1079429371,0.1048715825,0.1066266373,273548800,0.0,0.0
514512000000,0.1066266256,0.1096979798,0.1039932646,0.1048715711,327868800,0.0,0.0
514598400000,0.1048715808,0.1066266355,0.1031157411,0.1039932743,261475200,0.0,0.0
514684800000,0.1039932555,0.1105754915,0.103554489,0.110136725,458371200,0.0,0.0
514771200000,0.1101366918,0.1145243323,0.1101366918,0.1132080331,261072000,0.0,0.0
515030400000,0.1132080773,0.1149631319,0.1114530228,0.1123305559,145532800,0.0,0.0
515116800000,0.1123305434,0.1132080647,0.0943404543,0.1096979678,132697600,0.0,0.0
515203200000,0.1096979663,0.1110142541,0.1061878577,0.1061878577,137782400,0.0,0.0
515289600000,0.1061878577,0.1061878577,0.1044328034,0.1061878577,257936000,0.0,0.0
515376000000,0.1061878805,0.1088204567,0.1057491139,0.107065402,93587200,0.0,0.0
515635200000,0.1070653551,0.1140855709,0.1070653551,0.1127692834,149340800,0.0,0.0
515721600000,0.1132081165,0.1167190235,0.1132081165,0.1145244166,218534400,0.0,0.0
515808000000,0.1145243572,0.1154018785,0.109697961,0.1105754822,198800000,0.0,0.0
515894400000,0.1105755094,0.11627944,0.1105755094,0.1158406734,233363200,0.0,0.0
515980800000,0.1158406914,0.1180352981,0.1149631581,0.1171577647,222499200,0.0,0.0
516240000000,0.1171577106,0.1285655683,0.1167189558,0.1276880354,400422400,0.0,0.0
516326400000,0.1276880741,0.1281268407,0.1237391981,0.126371786,471766400,0.0,0.0
516412800000,0.1263717714,0.1311989533,0.1263717714,0.1294438988,482988800,0.0,0.0
516499200000,0.1294439138,0.1298826804,0.1250554979,0.126371786,222544000,0.0,0.0
516585600000,0.126371786,0.1272493075,0.1233004433,0.126371786,319244800,0.0,0.0
516844800000,0.12637181,0.128126865,0.124616755,0.1250555217,209507200,0.0,0.0
516931200000,0.1250554657,0.1250554657,0.1202290696,0.1241779327,245795200,0.0,0.0
517017600000,0.1241779914,0.1307602416,0.122861703,0.1298827082,346729600,0.0,0.0
517104000000,0.1298826404,0.1316376945,0.1254942142,0.1290051192,220505600,0.0,0.0
517190400000,0.1290051865,0.1303214749,0.1276881014,0.1298827082,139843200,0.0,0.0
517536000000,0.1298826653,0.1298826653,0.1276880593,0.1294438988,84649600,0.0,0.0
517622400000,0.1294439228,0.1316377442,0.1290051679,0.1307602227,207132800,0.0,0.0
517708800000,0.1307602416,0.1307602416,0.1281268681,0.1298827082,101427200,0.0,0.0
517795200000,0.1298827082,0.1307602416,0.1281268681,0.1298827082,127433600,0.0,0.0
518054400000,0.1298826914,0.1311989795,0.1290051698,0.130321458,199248000,0.0,0.0
518140800000,0.1303214257,0.1338315345,0.1303214257,0.1329540014,325897600,0.0,0.0
518227200000,0.1329540118,0.1364641208,0.132515257,0.1360253543,300652800,0.0,0.0
518313600000,0.1360253078,0.1373416071,0.1351477867,0.1364640743,147884800,0.0,0.0
518400000000,0.1364640847,0.1364640847,0.131637689,0.1325152218,177363200,0.0,0.0
518659200000,0.1325152682,0.1329540231,0.1259330194,0.126371786,247027200,0.0,0.0
518745600000,0.126371786,0.126371786,0.1233004433,0.126371786,246892800,0.0,0.0
518832000000,0.126371799,0.1272493205,0.1246167441,0.1268105656,186860800,0.0,0.0
518918400000,0.1268105526,0.1276880741,0.126371786,0.126371786,129091200,0.0,0.0
519004800000,0.1263717477,0.1276880354,0.1237391606,0.1276880354,143001600,0.0,0.0
519264000000,0.127688076,0.1294439157,0.1250554998,0.1259330213,173600000,0.0,0.0
519350400000,0.1259330294,0.1263717961,0.1193515769,0.1202291101,222051200,0.0,0.0
519436800000,0.1202291101,0.1219841649,0.1140856274,0.1202291101,429654400,0.0,0.0
519523200000,0.1202291581,0.1254943129,0.1189128577,0.1228617355,344646400,0.0,0.0
519609600000,0.1228616767,0.1268105526,0.1228616767,0.126371786,161302400,0.0,0.0
519868800000,0.1263717693,0.1272492907,0.1215453725,0.1219841391,116323200,0.0,0.0
519955200000,0.1219841935,0.1233004819,0.1206678933,0.1224229485,141993600,0.0,0.0
520041600000,0.1228616785,0.1263717879,0.1228616785,0.1259330213,131980800,0.0,0.0
520128000000,0.125933042,0.127688097,0.1246167537,0.1272493303,116928000,0.0,0.0
520214400000,0.1272493094,0.1290051608,0.1246167332,0.1259330213,50198400,0.0,0.0
520473600000,0.1259330213,0.1272493094,0.1254942547,0.1259330213,70761600,0.0,0.0
520560000000,0.1259329869,0.1268105199,0.1219841238,0.1241779327,87718400,0.0,0.0
520646400000,0.1241779775,0.1272493205,0.1241779775,0.1268105656,144838400,0.0,0.0
520732800000,0.1268105242,0.1325152385,0.1250554699,0.132076472,181171200,0.0,0.0
521078400000,0.1320765267,0.1325152934,0.1241779884,0.1250555217,181820800,0.0,0.0
521164800000,0.123739208,0.123739208,0.1197903435,0.1202291101,273683200,0.0,0.0
521251200000,0.120229116,0.1219841708,0.1193515827,0.1215454042,365120000,0.0,0.0
521337600000,0.1219841238,0.1241779327,0.1215453573,0.1241779327,208566400,0.0,0.0
521424000000,0.1241779753,0.1325152794,0.1237392086,0.130321458,224000000,0.0,0.0
521683200000,0.1303214703,0.1311989919,0.1272493303,0.1272493303,237440000,0.0,0.0
521769600000,0.1228617152,0.1228617152,0.1202291383,0.1224229485,297920000,0.0,0.0
521856000000,0.1246167333,0.1250554999,0.1149631416,0.1175965145,539840000,0.0,0.0
521942400000,0.1175964587,0.1184739915,0.1127692785,0.1132080331,250880000,0.0,0.0
522028800000,0.1132081038,0.1140856372,0.1096980057,0.1114530489,309120000,0.0,0.0
522288000000,0.1158406748,0.1184740477,0.1149631416,0.1175965145,228480000,0.0,0.0
